job_id;applicant;cv_name;job_url;applied_on;added_manually;used_cv;name;skills;jobId;randomIdx;template;first_company;first_title;second_company;second_title;third_company;third_title;company_name;title
0;Mateo;0_Mateo_Kramer.pdf;https://dk.indeed.com/jobs?q=Frontend+Developer&start=110&pp=gQClAAAAAAAAAAAAAAAB7T0KSQA5AQEBBwFa3g0sV9SEn_XGj1B5yox60LBqQq6Eipe4r3xOCSKrUkwCembXWfC1XPmYhXCTdYcSE00VAAA&vjk=35c897ebe43886b8;17.11.2022;False;0;Mateo;JavaScript, React, Express, Git, Python, Apollo, Redux, GraphQL, Java, Microsoft Azure, JQuery;0;1;2;TIER Mobility;Software Engineer;Dedalus HealthCare;Fullstack Developer;Klarna;Fullstack Developer;Delegate;Senior Azure Udvikler
0;Isabella;0_Isabella.pdf;https://dk.indeed.com/jobs?q=Frontend+Developer&start=110&pp=gQClAAAAAAAAAAAAAAAB7T0KSQA5AQEBBwFa3g0sV9SEn_XGj1B5yox60LBqQq6Eipe4r3xOCSKrUkwCembXWfC1XPmYhXCTdYcSE00VAAA&vjk=35c897ebe43886b8;2022-11-17 15:25:48.857334;False;0;Isabella;JavaScript, React, Express, Git, Redux, NoSQL, SQL, Microsoft Azure, CSS, Adobe Illustrator, Apollo;0;0;1;Dedalus HealthCare;Fullstack Developer;Inetum;Frontend / Backend Developer;TIER Mobility;Software Engineer;Delegate;Senior Azure Udvikler
1;Mateo;1_Mateo_Kramer.pdf;https://dk.indeed.com/jobs?q=Frontend+Developer&start=110&pp=gQClAAAAAAAAAAAAAAAB7T0KSQA5AQEBBwFa3g0sV9SEn_XGj1B5yox60LBqQq6Eipe4r3xOCSKrUkwCembXWfC1XPmYhXCTdYcSE00VAAA&vjk=6c7807a7ef51d978;17.11.2022;False;1;Mateo;JavaScript, React, Express, Git, CSS, Microsoft Azure, TypeScript, Redux, JQuery, Docker, Adobe Illustrator;1;0;2;Shropshire Council;Web Developer;Spotify;Software Engineer;Self-employed / Freelancing;Technical Consultant & Web Developer;Signifly;Senior Front-End - Creative Tech
1;Isabella;1_Isabella.pdf;https://dk.indeed.com/jobs?q=Frontend+Developer&start=110&pp=gQClAAAAAAAAAAAAAAAB7T0KSQA5AQEBBwFa3g0sV9SEn_XGj1B5yox60LBqQq6Eipe4r3xOCSKrUkwCembXWfC1XPmYhXCTdYcSE00VAAA&vjk=6c7807a7ef51d978;2022-11-17 15:29:19.047421;False;1;Isabella;JavaScript, React, Express, Git, Kubernetes, Microsoft Azure, SQL, NoSQL, Adobe Illustrator, TypeScript, CSS;1;1;1;DAZN;Software Engineer;Sainsbury's;Software Engineer;Spotify;Software Engineer;Signifly;Senior Front-End - Creative Tech
3;Mateo;3_Mateo.pdf;https://de.indeed.com/jobs?q=Fullstack+Developer&start=50&pp=gQBLAAAAAAAAAAAAAAAB7VPOBwBvAQIBDyAIA3ra06F0bUPX5rstpOuPapkJy2fqlJzPhWwJIm59h7alCEDz8HlaZ0QYmxr5SD8AlbGWaC2eRjkrnZc3Uzqdp7rN2nZ2l_lnFOA0jMOZUcFkowgkOgP8GadgtTlkANyM1dghe-KdQujbAAA&vjk=effac02430f48b72;2022-11-17 14:44:44.099780;False;3;Mateo;JavaScript, React, Express, Git, Docker, CSS, TypeScript, Redux, Kubernetes, NoSQL, AWS;3;0;1;Self-employed / Freelancing;Technical Consultant & Web Developer;Dedalus HealthCare;Fullstack Developer;Altran;Software Engineer;keeen GmbH;Fullstack Shopware Developer (m/w/d)
3;Isabella;3_Isabella.pdf;https://de.indeed.com/jobs?q=Fullstack+Developer&start=50&pp=gQBLAAAAAAAAAAAAAAAB7VPOBwBvAQIBDyAIA3ra06F0bUPX5rstpOuPapkJy2fqlJzPhWwJIm59h7alCEDz8HlaZ0QYmxr5SD8AlbGWaC2eRjkrnZc3Uzqdp7rN2nZ2l_lnFOA0jMOZUcFkowgkOgP8GadgtTlkANyM1dghe-KdQujbAAA&vjk=effac02430f48b72;2022-11-17 15:30:32.905718;False;3;Isabella;JavaScript, React, Express, Git, Adobe Illustrator, Apollo, Java, TypeScript, CSS, GraphQL, NoSQL;3;1;2;Unumbox Ltd;Fullstack Developer;DAZN;Software Engineer;Dedalus HealthCare;Fullstack Developer;keeen GmbH;Fullstack Shopware Developer (m/w/d)
4;Mateo;4_Mateo.pdf;https://de.indeed.com/jobs?q=Fullstack+Developer&start=50&pp=gQBLAAAAAAAAAAAAAAAB7VPOBwBvAQIBDyAIA3ra06F0bUPX5rstpOuPapkJy2fqlJzPhWwJIm59h7alCEDz8HlaZ0QYmxr5SD8AlbGWaC2eRjkrnZc3Uzqdp7rN2nZ2l_lnFOA0jMOZUcFkowgkOgP8GadgtTlkANyM1dghe-KdQujbAAA&vjk=2947357168f31a01;2022-11-17 14:46:17.907436;False;4;Mateo;JavaScript, React, Express, Git, Kubernetes, CSS, Apollo, SQL, Microsoft Azure, Python, AWS;4;0;1;Inetum;Frontend / Backend Developer;Altran;Software Engineer;Self-employed / Freelancing;Technical Consultant & Web Developer;Volocopter GmbH;Fullstack Software Developer (m/f/d)
4;Isabella;4_Isabella.pdf;https://de.indeed.com/jobs?q=Fullstack+Developer&start=50&pp=gQBLAAAAAAAAAAAAAAAB7VPOBwBvAQIBDyAIA3ra06F0bUPX5rstpOuPapkJy2fqlJzPhWwJIm59h7alCEDz8HlaZ0QYmxr5SD8AlbGWaC2eRjkrnZc3Uzqdp7rN2nZ2l_lnFOA0jMOZUcFkowgkOgP8GadgtTlkANyM1dghe-KdQujbAAA&vjk=2947357168f31a01;2022-11-17 15:31:30.509338;False;4;Isabella;JavaScript, React, Express, Git, TypeScript, CSS, Kubernetes, Java, Python, JQuery, Docker;4;1;2;Dedalus HealthCare;Fullstack Developer;Klarna;Fullstack Developer;Shropshire Council;Web Developer;Volocopter GmbH;Fullstack Software Developer (m/f/d)
7;Mateo;7_Mateo.pdf;https://de.indeed.com/jobs?q=Web+Developer&start=250&pp=gQF3AAAAAAAAAAAAAAAB7XfYjQF-AQcBQYQBBg4GDhg0FlwGHgYFRV6EppaqeqHrvmUtAMoTSs-WSxzYDN32Hmt1NuzmqA-vxTaZ_PuIX_knO5SoZb_cuJ-ginOPvS3cyxGmIWdjDJGutWJnXluED_L8YFg6kOiIzpsuJqHfu0_G-yXHmr-aB4urRJlf21Nint7H3JCu2ZL3My7clRgrn0cpxB5vLxoewMBht1Vj2fCQ3HE6zoo7WUkWpT5r6aL09n7zbUh45wMoOxGPLf2WfzGQxcgi7CwqniGx-f0XEMwRhFg8wfrNwOEK0Z7n873y7fMYACaHK3lo32Rw54wvrA-j8Lstny3oTQnjWzJ8s0LdqK4thGzOP8hvXXw5GEVOM0jp6yMLXVRf5XmqTiRzAO8abzwv3VgIy0mEBI9bIrfSONAqEPQdLsrjXQbb7EIsjrzS5FoH7oijVoR63SPBrxS084UFZocLu3ZqvM5hph5M3gT2zBw8v98k3wN9-J4hQ4sqob8U9IR3zAUUdqJKbphyIQAA&vjk=4c955e5e5b690d7c;2022-11-17 15:12:58.622386;False;7;Mateo;JavaScript, React, Express, Git, Java, JQuery, Microsoft Azure, CSS, Apollo, SQL, Docker;7;0;1;TIER Mobility;Software Engineer;Self-employed / Freelancing;Technical Consultant & Web Developer;Unumbox Ltd;Fullstack Developer;Proximity Technology;(Intermediate) Fronted Developer
7;Isabella;7_Isabella.pdf;https://de.indeed.com/jobs?q=Web+Developer&start=250&pp=gQF3AAAAAAAAAAAAAAAB7XfYjQF-AQcBQYQBBg4GDhg0FlwGHgYFRV6EppaqeqHrvmUtAMoTSs-WSxzYDN32Hmt1NuzmqA-vxTaZ_PuIX_knO5SoZb_cuJ-ginOPvS3cyxGmIWdjDJGutWJnXluED_L8YFg6kOiIzpsuJqHfu0_G-yXHmr-aB4urRJlf21Nint7H3JCu2ZL3My7clRgrn0cpxB5vLxoewMBht1Vj2fCQ3HE6zoo7WUkWpT5r6aL09n7zbUh45wMoOxGPLf2WfzGQxcgi7CwqniGx-f0XEMwRhFg8wfrNwOEK0Z7n873y7fMYACaHK3lo32Rw54wvrA-j8Lstny3oTQnjWzJ8s0LdqK4thGzOP8hvXXw5GEVOM0jp6yMLXVRf5XmqTiRzAO8abzwv3VgIy0mEBI9bIrfSONAqEPQdLsrjXQbb7EIsjrzS5FoH7oijVoR63SPBrxS084UFZocLu3ZqvM5hph5M3gT2zBw8v98k3wN9-J4hQ4sqob8U9IR3zAUUdqJKbphyIQAA&vjk=4c955e5e5b690d7c;2022-11-17 15:33:54.805168;False;7;Isabella;JavaScript, React, Express, Git, CSS, JQuery, AWS, Kubernetes, Docker, Adobe Illustrator, GraphQL;7;1;2;Sainsbury's;Software Engineer;DAZN;Software Engineer;Self-employed / Freelancing;Technical Consultant & Web Developer;Proximity Technology;(Intermediate) Fronted Developer
